ID;LAT;LNG;BANCO;RED;DOM_GEO;TERMINALES;BARRIO;RED_CODE;RETIROS;RECARGAS
175;-34.58173803967676;-58.40342705156989;BBVA-BANCO FRANCES;BANELCO;2166 DEL LIBERTADOR AV.;1;PALERMO;1;0;1000
176;-34.58165160074222;-58.403704188224104;BANCO GALICIA;BANELCO;2196 DEL LIBERTADOR AV.;3;PALERMO;1;0;3000
177;-34.57852376145535;-58.40798692174801;HSBC ARGENTINA;BANELCO;2694 DEL LIBERTADOR AV.;2;PALERMO;1;0;2000
178;-34.57792982179792;-58.407537527812906;BANCO GALICIA;BANELCO;2699 DEL LIBERTADOR AV.;2;PALERMO;1;0;2000
179;-34.56645441189711;-58.43230907169554;BANCO GALICIA;BANELCO;4596 DEL LIBERTADOR AV.;2;PALERMO;1;0;2000
180;-34.5587892810646;-58.445611218285315;BANCO ITAU;BANELCO;5769 DEL LIBERTADOR AV.;3;BELGRANO;1;0;3000
181;-34.552468329165684;-58.4510469323224;BANCO SANTANDER RIO;BANELCO;6401 DEL LIBERTADOR AV.;2;BELGRANO;1;0;2000
182;-34.540669847523674;-58.46410378457833;BANCO PATAGONIA;BANELCO;8108 DEL LIBERTADOR AV.;1;NUÑEZ;1;0;1000
183;-34.546938463903714;-58.457407733882285;BANCO SANTANDER RIO;BANELCO;DEL LIBERTADOR AV. & PEDRAZA, MANUELA;1;NUÑEZ;1;0;1000
184;-34.608756229485984;-58.421778921582145;BANCO SUPERVIELLE;BANELCO;3916 DIAZ VELEZ AV.;2;ALMAGRO;1;0;2000
185;-34.608481250701296;-58.42484135293685;BANCO SANTANDER RIO;BANELCO;4101 DIAZ VELEZ AV.;2;ALMAGRO;1;0;2000
186;-34.60854383896787;-58.42865059899658;BANCO PATAGONIA;BANELCO;4363 DIAZ VELEZ AV.;2;ALMAGRO;1;0;2000
187;-34.608623003007324;-58.440825114771485;BBVA-BANCO FRANCES;BANELCO;5253 DIAZ VELEZ AV.;2;CABALLITO;1;0;2000
188;-34.65416724451304;-58.52061106970886;BANCO PATAGONIA;BANELCO;7325 CASTRO, EMILIO AV.;2;LINIERS;1;0;2000
189;-34.571335872675334;-58.4581674698683;BANCO ITAU;BANELCO;3034 ELCANO AV.;1;COLEGIALES;1;0;1000
190;-34.571335872675334;-58.4581674698683;BANCO ITAU;BANELCO;3034 ELCANO AV.;1;COLEGIALES;1;0;1000
191;-34.57201674734599;-58.45904701884592;BBVA-BANCO FRANCES;BANELCO;3107 ELCANO AV.;1;COLEGIALES;1;0;1000
192;-34.62209887285351;-58.39174206696677;BANCO GALICIA;BANELCO;1145 ENTRE RIOS AV.;2;SAN CRISTOBAL;1;0;2000
193;-34.62212736209198;-58.391303848234486;HSBC ARGENTINA;BANELCO;1150 ENTRE RIOS AV.;2;CONSTITUCION;1;0;2000
194;-34.628081471567235;-58.39085589844023;BANCO SANTANDER RIO;BANELCO;1692 ENTRE RIOS AV.;2;CONSTITUCION;1;0;2000
195;-34.631451350837224;-58.39047981299011;ICBC;BANELCO;2000 ENTRE RIOS AV.;2;CONSTITUCION;1;0;2000
196;-34.61534990384223;-58.391882480401954;BANCO PATAGONIA;BANELCO;555 ENTRE RIOS AV.;2;BALVANERA;1;0;2000
197;-34.646868148474454;-58.467461348013586;BANCO GALICIA;BANELCO;3760 PERON, EVA AV.;3;PARQUE AVELLANEDA;1;0;3000
198;-34.65806544121855;-58.47877456122564;BANCO PATAGONIA;BANELCO;4902 PERON, EVA AV.;3;VILLA LUGANO;1;0;3000
199;-34.65785907390112;-58.47918020926316;BBVA-BANCO FRANCES;BANELCO;4941 PERON, EVA AV.;1;MATADEROS;1;0;1000
